City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
72,Evanston,US,80.58,overcast clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
80,Samarinda,ID,72.01,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
81,Bose,IT,73.83,light rain,45.4612,8.0137,Locanda Borgo Antico
91,Vaini,TO,73.06,overcast clouds,-21.2,-175.2,Keleti Beach Resort
92,El Colomo,MX,83.05,overcast clouds,19.05,-104.25,Hotel Maricarmen
93,Centralia,US,89.44,clear sky,46.7162,-122.9543,Peppermill Inn
95,Puerto Ayora,EC,71.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
97,Santa Maria,BR,76.3,clear sky,-29.6842,-53.8069,Hotel Morotin
100,Panama City,PA,78.93,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
102,Monroe,US,77.45,broken clouds,43.1501,-77.6831,Rodeway Inn Rochester Airport
103,Jamestown,US,76.51,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
104,Lac Du Bonnet,CA,72.84,overcast clouds,50.2536,-96.0612,Drifter's Inn
105,Butaritari,KI,82.06,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
108,Balabac,PH,80.8,broken clouds,7.9868,117.0645,Batalla’s Lodging House
109,Joshimath,IN,71.28,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
113,Katsuura,JP,79.39,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
114,Alcaniz,ES,78.82,clear sky,41.05,-0.1333,Hotel Ciudad de Alcañiz
115,Arraial Do Cabo,BR,73.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
119,Caravelas,BR,70.38,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
125,Los Llanos De Aridane,ES,71.35,clear sky,28.6585,-17.9182,Valle Aridane
127,Palmer,US,89.06,broken clouds,42.1584,-72.3287,Wedgewood Motel
128,Umm Lajj,SA,85.71,scattered clouds,25.0213,37.2685,Moon light Furnished Units
133,Parkersburg,US,85.28,few clouds,39.2667,-81.5615,The Blennerhassett Hotel
137,College,US,74.07,overcast clouds,64.8569,-147.8028,Pike's Waterfront Lodge
140,Orizona,BR,74.05,clear sky,-17.0314,-48.2958,Hotel Carvalhos
143,Phangnga,TH,77.04,overcast clouds,8.4509,98.5298,Sunimit Mansion
144,Ternate,ID,79.84,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
150,Acarau,BR,79.12,broken clouds,-2.8856,-40.12,castelo pizzaria
152,Dingle,PH,75.65,light rain,10.9995,122.6711,SEGAYA PROPERTY
154,Cockburn Town,TC,81.88,few clouds,21.4612,-71.1419,Osprey Beach Hotel
155,Kahului,US,87.82,few clouds,20.8947,-156.47,Maui Seaside Hotel
157,Touros,BR,75.74,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
161,Cayenne,GF,86.04,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
163,Pingliang,CN,70.39,few clouds,35.5392,106.6861,North Gate Hostel
165,Hasaki,JP,79.29,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
