City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
184,Porto Seguro,BR,-16.4497,-39.0647,72.32,75,11,7.05,few clouds
185,Belogorsk,RU,50.9158,128.4611,67.48,79,0,4.94,clear sky
186,Viedma,AR,-40.8135,-62.9967,48.0,86,100,10.27,overcast clouds
187,Cherskiy,RU,68.75,161.3,50.99,48,83,8.66,broken clouds
188,Ayan,RU,56.45,138.1667,55.96,90,100,11.79,light rain
189,Marsa Matruh,EG,31.3525,27.2453,78.13,77,0,12.82,clear sky
190,Ndele,CF,8.4109,20.6473,71.91,94,92,3.98,light rain
191,Matay,EG,28.419,30.7792,88.79,19,0,7.52,clear sky
192,Omboue,GA,-1.5746,9.2618,72.46,86,63,7.54,broken clouds
193,Mount Gambier,AU,-37.8333,140.7667,48.63,65,86,13.53,overcast clouds
194,Longyearbyen,SJ,78.2186,15.6401,48.04,81,75,16.11,broken clouds
195,Chokurdakh,RU,70.6333,147.9167,52.56,51,100,13.02,overcast clouds
196,Tibati,CM,6.4667,12.6333,66.83,96,100,1.97,light rain
197,Lorengau,PG,-2.0226,147.2712,80.06,82,84,8.19,broken clouds
198,Nara,JP,34.6851,135.8049,81.5,62,100,2.33,overcast clouds
199,Gobabis,NA,-22.45,18.9667,61.43,32,77,12.41,broken clouds
200,Lichinga,MZ,-13.3128,35.2406,59.09,72,40,10.36,scattered clouds
201,Atherton,GB,53.5237,-2.4935,59.9,95,100,1.99,light rain
202,Broome,US,42.2506,-75.833,85.6,52,75,12.66,broken clouds
203,Lompoc,US,34.6391,-120.4579,89.02,69,40,11.5,scattered clouds
204,Luebo,CD,-5.35,21.4167,80.15,37,45,2.13,scattered clouds
205,Kirakira,SB,-10.4544,161.9205,80.98,80,59,8.77,broken clouds
206,Tehri,IN,30.3833,78.4833,76.39,85,99,2.08,overcast clouds
207,Boca Do Acre,BR,-8.7522,-67.3978,89.44,44,91,2.19,overcast clouds
208,Morada Nova,BR,-5.1067,-38.3725,82.4,43,87,4.61,overcast clouds
209,Guerrero Negro,MX,27.9769,-114.0611,82.29,49,0,12.97,clear sky
210,San Quintin,MX,30.4833,-115.95,73.15,69,2,11.41,clear sky
211,Airai,TL,-8.9266,125.4092,54.32,78,17,3.47,few clouds
212,Half Moon Bay,US,37.4636,-122.4286,81.41,67,75,18.41,broken clouds
213,Fexhe-Le-Haut-Clocher,BE,50.6654,5.3998,68.18,59,0,16.11,clear sky
214,Barreiras,BR,-12.1528,-44.99,78.87,28,100,5.19,overcast clouds
215,Bambous Virieux,MU,-20.3428,57.7575,67.21,79,18,11.72,few clouds
216,Iqaluit,CA,63.7506,-68.5145,47.7,87,67,5.01,broken clouds
217,Leningradskiy,RU,69.3833,178.4167,33.24,93,100,6.2,light snow
218,Whitehorse,CA,60.7161,-135.0538,56.91,87,99,9.82,overcast clouds
219,Bassano,CA,50.7834,-112.4685,70.65,57,78,4.14,broken clouds
220,Coihaique,CL,-45.5752,-72.0662,33.75,80,40,0.0,scattered clouds
221,Hovd,MN,48.0056,91.6419,55.74,55,6,2.51,clear sky
222,Mehamn,NO,71.0357,27.8492,53.55,87,75,1.14,light rain
223,Mackenzie,CA,55.2999,-123.1698,77.09,44,61,1.12,broken clouds
224,Tura,IN,25.5198,90.2201,73.29,98,100,3.62,overcast clouds
225,Bilibino,RU,68.0546,166.4372,48.22,56,21,5.3,few clouds
226,Bengkulu,ID,-3.8004,102.2655,72.19,85,100,3.33,overcast clouds
227,Ferme-Neuve,CA,46.7001,-75.4493,67.55,58,76,11.14,broken clouds
228,Charagua,BO,-19.8,-63.2167,89.17,39,10,12.82,clear sky
229,Okhotsk,RU,59.3833,143.3,57.4,83,64,5.1,broken clouds
230,Revelstoke,CA,50.9832,-118.2023,86.59,36,82,3.91,broken clouds
231,Kuloy,RU,61.0305,42.4925,56.64,90,29,4.54,scattered clouds
232,Bethel,US,41.3712,-73.414,88.65,72,20,13.8,few clouds
233,Kinablangan,PH,7.6947,126.5503,78.22,86,91,3.02,overcast clouds
234,Surt,LY,31.2089,16.5887,80.62,77,0,7.31,clear sky
235,Bambanglipuro,ID,-7.95,110.2833,69.21,85,88,3.04,overcast clouds
236,Ekhabi,RU,53.5102,142.9671,56.86,97,100,13.11,overcast clouds
237,Dakar,SN,14.6937,-17.4441,81.48,80,58,8.12,broken clouds
238,Camacha,PT,33.0833,-16.3333,69.22,88,20,13.8,few clouds
239,Gemena,CD,3.25,19.7667,73.35,87,98,0.4,overcast clouds
240,San Cristobal,VE,7.7669,-72.225,77.14,63,36,6.17,scattered clouds
241,Monte Alegre,BR,-2.0078,-54.0692,83.37,65,80,0.72,broken clouds
242,Hounde,BF,11.5,-3.5167,77.54,70,12,4.16,few clouds
243,Vanimo,PG,-2.6741,141.3028,76.44,90,88,5.08,overcast clouds
244,Manzhouli,CN,49.6,117.4333,61.99,98,96,6.51,overcast clouds
245,Galesong,ID,-5.3166,119.3661,69.82,76,23,2.73,few clouds
246,Talakan,RU,50.3167,130.3667,67.78,91,9,1.68,clear sky
247,Touba,CI,8.2833,-7.6833,69.82,92,9,2.15,clear sky
248,Karratha,AU,-20.7377,116.8463,62.73,40,4,11.92,clear sky
249,Pucallpa,PE,-8.3791,-74.5539,89.64,55,75,2.3,broken clouds
250,Kabansk,RU,52.0486,106.6528,54.79,96,100,11.21,light rain
251,Verkhnyaya Inta,RU,65.9811,60.3094,47.84,89,100,16.82,overcast clouds
252,Uwajima,JP,33.2238,132.56,77.02,91,6,2.93,clear sky
253,Pacific Grove,US,36.6177,-121.9166,74.21,77,40,11.5,scattered clouds
254,Banff,CA,51.1762,-115.5698,63.5,62,98,5.82,overcast clouds
255,San Jose,US,37.3394,-121.895,87.53,42,0,11.5,clear sky
256,Bitung,ID,1.4451,125.1824,74.25,86,99,11.05,overcast clouds
257,Trorod,DK,55.8395,12.5443,65.05,93,99,8.23,overcast clouds
258,Tiznit,MA,29.5833,-9.5,92.19,19,74,1.68,broken clouds
259,Amot,NO,59.5714,7.9877,56.77,83,66,3.2,broken clouds
260,Yar-Sale,RU,66.8333,70.8333,46.26,87,74,12.46,broken clouds
261,Waingapu,ID,-9.6567,120.2641,70.99,81,93,6.06,overcast clouds
262,Santa Rosalia,MX,27.3167,-112.2833,88.03,37,2,8.21,clear sky
263,Cururupu,BR,-1.8283,-44.8683,76.41,91,96,1.95,overcast clouds
264,Mao,ES,39.8885,4.2658,82.96,74,0,5.75,clear sky
265,Bealanana,MG,-14.55,48.7333,54.55,97,73,3.33,broken clouds
266,Upata,VE,8.0086,-62.3989,75.2,84,76,1.59,broken clouds
267,Namibe,AO,-15.1961,12.1522,63.09,82,2,6.08,clear sky
268,Ust-Ishim,RU,57.6935,71.1665,62.08,96,44,3.83,scattered clouds
269,Colombia,CU,20.9881,-77.4297,83.01,72,95,12.84,overcast clouds
270,Cidreira,BR,-30.1811,-50.2056,61.68,95,27,4.83,scattered clouds
271,Ilulissat,GL,69.2167,-51.1,44.62,87,75,4.61,broken clouds
272,Eureka,US,40.8021,-124.1637,74.19,75,52,5.99,broken clouds
273,Buin,CL,-33.7333,-70.75,59.43,79,100,1.68,overcast clouds
274,Kushima,JP,31.4583,131.2333,79.43,95,12,3.76,few clouds
275,Carutapera,BR,-1.195,-46.02,78.51,84,99,6.73,overcast clouds
276,Lincoln,US,40.8,-96.667,71.53,80,100,9.22,light rain
277,Silver City,US,32.7701,-108.2803,84.16,48,0,5.99,clear sky
278,Zhengjiatun,CN,43.5064,123.5064,69.73,93,97,11.59,overcast clouds
279,Wanaka,NZ,-44.7,169.15,37.11,97,100,4.61,light rain
280,Oussouye,SN,12.485,-16.5469,76.8,89,100,7.78,overcast clouds
281,Akdepe,TM,42.0551,59.3788,77.72,54,98,16.33,overcast clouds
282,Katangli,RU,51.7102,143.2326,56.52,98,100,1.63,overcast clouds
283,Ornskoldsvik,SE,63.2909,18.7153,61.75,100,100,9.22,light rain
284,Gambela,ET,8.25,34.5833,72.54,80,100,3.98,overcast clouds
285,Ust-Tsilma,RU,65.441,52.1498,47.75,79,64,7.23,broken clouds
286,Seoul,KR,37.5683,126.9778,74.64,85,0,2.15,clear sky
287,Constitucion,CL,-35.3333,-72.4167,54.81,81,100,22.19,moderate rain
288,Reoti,IN,25.85,84.3833,84.83,70,87,8.16,overcast clouds
289,Barbastro,ES,42.0356,0.1269,82.58,34,0,5.32,clear sky
290,Buchanan,LR,5.8808,-10.0467,74.32,77,25,6.42,scattered clouds
291,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,54.19,94,75,2.24,broken clouds
292,Velika Kladusa,BA,45.1894,15.8117,72.75,57,0,1.97,clear sky
293,Nome,US,64.5011,-165.4064,54.16,94,100,10.36,light rain
294,Pevek,RU,69.7008,170.3133,36.79,79,91,7.05,overcast clouds
295,Thinadhoo,MV,0.5333,72.9333,82.42,72,80,9.4,broken clouds
